cal_enabled,cal_fusion_alpha,cal_confidence_threshold,cal_min_cache_size,accuracy,dataset,exp_id
True,0.9,0.6,30,85.89438943894389,food101,51
True,0.9,0.6,10,85.86468646864687,food101,49
True,0.9,0.6,20,85.75577557755776,food101,50
True,0.8,0.6,30,85.67986798679868,food101,39
True,0.9,0.7,20,85.66006600660066,food101,53
True,0.8,0.6,10,85.63696369636963,food101,37
True,0.8,0.6,20,85.62376237623762,food101,38
True,0.9,0.7,30,85.58415841584159,food101,54
True,0.9,0.8,10,85.54785478547855,food101,55
True,0.9,0.7,10,85.53465346534654,food101,52
True,0.9,0.8,20,85.52475247524752,food101,56
True,0.9,0.8,30,85.43894389438944,food101,57
True,0.9,0.9,20,85.41584158415841,food101,59
True,0.7,0.6,20,85.4026402640264,food101,26
True,0.9,0.9,30,85.38943894389439,food101,60
True,0.7,0.6,10,85.38613861386139,food101,25
True,0.8,0.7,10,85.36963696369637,food101,40
True,0.8,0.7,30,85.31353135313532,food101,42
True,0.7,0.6,30,85.3069306930693,food101,27
True,0.9,0.9,10,85.28052805280528,food101,58
True,0.8,0.7,20,85.25412541254126,food101,41
True,0.8,0.8,10,85.1914191419142,food101,43
True,0.7,0.7,20,85.15181518151815,food101,29
True,0.8,0.9,20,85.10561056105611,food101,47
True,0.8,0.8,30,85.08250825082509,food101,45
True,0.8,0.8,20,85.07920792079207,food101,44
True,0.7,0.7,10,84.96369636963696,food101,28
True,0.7,0.7,30,84.96039603960396,food101,30
True,0.8,0.9,10,84.94719471947195,food101,46
True,0.5,0.6,10,84.9075907590759,food101,13
True,0.8,0.9,30,84.88118811881188,food101,48
True,0.5,0.6,30,84.8019801980198,food101,15
True,0.7,0.8,30,84.76897689768977,food101,33
True,0.5,0.6,20,84.61716171617162,food101,14
True,0.7,0.8,10,84.51155115511551,food101,31
True,0.3,0.6,20,84.5016501650165,food101,2
True,0.7,0.8,20,84.39273927392739,food101,32
True,0.7,0.9,30,84.38943894389439,food101,36
True,0.3,0.6,10,84.2871287128713,food101,1
True,0.7,0.9,20,84.27062706270627,food101,35
True,0.3,0.6,30,84.2112211221122,food101,3
True,0.5,0.7,20,84.20792079207921,food101,17
True,0.5,0.7,10,84.17161716171617,food101,16
True,0.7,0.9,10,84.11221122112211,food101,34
True,0.5,0.7,30,84.04950495049505,food101,18
True,0.3,0.7,10,83.54125412541254,food101,4
True,0.3,0.7,30,83.47524752475248,food101,6
True,0.5,0.8,20,83.29702970297029,food101,20
True,0.5,0.8,30,83.29372937293729,food101,21
True,0.3,0.7,20,83.23102310231023,food101,5
True,0.5,0.8,10,83.18481848184818,food101,19
True,0.5,0.9,20,82.48184818481849,food101,23
True,0.5,0.9,10,82.44884488448845,food101,22
True,0.5,0.9,30,82.3069306930693,food101,24
True,0.3,0.8,30,82.01980198019803,food101,9
True,0.3,0.8,10,81.99009900990099,food101,7
True,0.3,0.8,20,81.83498349834983,food101,8
True,0.3,0.9,10,80.4059405940594,food101,10
True,0.3,0.9,20,80.37953795379538,food101,11
True,0.3,0.9,30,80.36963696369637,food101,12
