cal_enabled,cal_fusion_alpha,cal_confidence_threshold,cal_min_cache_size,accuracy,dataset,exp_id
True,0.3,0.6,10,72.75680064961429,oxford_flowers,1
True,0.3,0.6,20,72.71619975639464,oxford_flowers,2
True,0.3,0.6,30,73.44701583434835,oxford_flowers,3
True,0.3,0.7,10,72.55379618351604,oxford_flowers,4
True,0.3,0.7,20,72.9192042224929,oxford_flowers,5
True,0.3,0.7,30,73.60941940722697,oxford_flowers,6
True,0.3,0.8,10,71.2545676004872,oxford_flowers,7
True,0.3,0.8,20,73.0004060089322,oxford_flowers,8
True,0.3,0.8,30,72.71619975639464,oxford_flowers,9
True,0.3,0.9,10,71.33576938692651,oxford_flowers,10
True,0.3,0.9,20,73.0816077953715,oxford_flowers,11
True,0.3,0.9,30,71.86358099878197,oxford_flowers,12
True,0.5,0.6,10,72.67559886317498,oxford_flowers,13
True,0.5,0.6,20,74.17783191230207,oxford_flowers,14
True,0.5,0.6,30,72.87860332927325,oxford_flowers,15
True,0.5,0.7,10,72.63499796995534,oxford_flowers,16
True,0.5,0.7,20,74.05602923264311,oxford_flowers,17
True,0.5,0.7,30,73.20341047503045,oxford_flowers,18
True,0.5,0.8,10,73.4064149411287,oxford_flowers,19
True,0.5,0.8,20,72.95980511571254,oxford_flowers,20
True,0.5,0.8,30,72.95980511571254,oxford_flowers,21
True,0.5,0.9,10,74.01542833942347,oxford_flowers,22
True,0.5,0.9,20,72.22898903775884,oxford_flowers,23
True,0.5,0.9,30,72.55379618351604,oxford_flowers,24
True,0.7,0.6,10,72.55379618351604,oxford_flowers,25
True,0.7,0.6,20,71.57937474624441,oxford_flowers,26
True,0.7,0.6,30,72.95980511571254,oxford_flowers,27
True,0.7,0.7,10,73.20341047503045,oxford_flowers,28
True,0.7,0.7,20,72.63499796995534,oxford_flowers,29
True,0.7,0.7,30,72.67559886317498,oxford_flowers,30
True,0.7,0.8,10,71.98538367844093,oxford_flowers,31
True,0.7,0.8,20,72.47259439707673,oxford_flowers,32
True,0.7,0.8,30,72.02598457166057,oxford_flowers,33
True,0.7,0.9,10,72.26958993097848,oxford_flowers,34
True,0.7,0.9,20,71.82298010556232,oxford_flowers,35
True,0.7,0.9,30,72.55379618351604,oxford_flowers,36
True,0.8,0.6,10,71.21396670726756,oxford_flowers,37
True,0.8,0.6,20,71.70117742590337,oxford_flowers,38
True,0.8,0.6,30,71.57937474624441,oxford_flowers,39
True,0.8,0.7,10,72.14778725131953,oxford_flowers,40
True,0.8,0.7,20,71.41697117336581,oxford_flowers,41
True,0.8,0.7,30,71.01096224116931,oxford_flowers,42
True,0.8,0.8,10,71.66057653268372,oxford_flowers,43
True,0.8,0.8,20,71.66057653268372,oxford_flowers,44
True,0.8,0.8,30,70.7673568818514,oxford_flowers,45
True,0.8,0.9,10,70.97036134794965,oxford_flowers,46
True,0.8,0.9,20,71.17336581404791,oxford_flowers,47
True,0.8,0.9,30,71.17336581404791,oxford_flowers,48
True,0.9,0.6,10,70.28014616321559,oxford_flowers,49
True,0.9,0.6,20,70.40194884287455,oxford_flowers,50
True,0.9,0.6,30,70.11774259033699,oxford_flowers,51
True,0.9,0.7,10,70.15834348355664,oxford_flowers,52
True,0.9,0.7,20,70.07714169711734,oxford_flowers,53
True,0.9,0.7,30,70.19894437677628,oxford_flowers,54
True,0.9,0.8,10,69.58993097848153,oxford_flowers,55
True,0.9,0.8,20,70.40194884287455,oxford_flowers,56
True,0.9,0.8,30,69.71173365814047,oxford_flowers,57
True,0.9,0.9,10,70.32074705643524,oxford_flowers,58
True,0.9,0.9,20,70.4425497360942,oxford_flowers,59
True,0.9,0.9,30,69.50872919204222,oxford_flowers,60
