cal_enabled,cal_fusion_alpha,cal_confidence_threshold,cal_min_cache_size,accuracy,dataset,exp_id
True,0.8,0.6,20,65.72565601293371,stanford_cars,38
True,0.8,0.6,30,65.67591095634872,stanford_cars,39
True,0.7,0.6,30,65.58885710732496,stanford_cars,27
True,0.7,0.6,10,65.19089665464494,stanford_cars,25
True,0.7,0.6,20,65.09140654147494,stanford_cars,26
True,0.9,0.6,30,65.09140654147494,stanford_cars,51
True,0.9,0.6,10,65.0789702773287,stanford_cars,49
True,0.9,0.6,20,65.01678895659744,stanford_cars,50
True,0.8,0.6,10,64.97948016415869,stanford_cars,37
True,0.8,0.7,30,64.95460763586618,stanford_cars,42
True,0.9,0.8,20,64.79293620196493,stanford_cars,56
True,0.8,0.7,20,64.68100982464867,stanford_cars,41
True,0.8,0.7,10,64.63126476806367,stanford_cars,40
True,0.9,0.7,10,64.60639223977117,stanford_cars,52
True,0.9,0.7,20,64.58151971147868,stanford_cars,53
True,0.7,0.7,30,64.44472080586992,stanford_cars,30
True,0.9,0.7,30,64.43228454172366,stanford_cars,54
True,0.8,0.8,30,64.41984827757742,stanford_cars,45
True,0.9,0.8,10,64.38253948513866,stanford_cars,55
True,0.8,0.9,20,64.32035816440741,stanford_cars,47
True,0.8,0.9,10,64.30792190026116,stanford_cars,46
True,0.9,0.9,20,64.30792190026116,stanford_cars,59
True,0.7,0.7,20,64.28304937196866,stanford_cars,29
True,0.8,0.8,10,64.23330431538366,stanford_cars,43
True,0.9,0.8,30,64.23330431538366,stanford_cars,57
True,0.8,0.8,20,64.05919661733616,stanford_cars,44
True,0.5,0.6,30,64.05919661733616,stanford_cars,15
True,0.7,0.7,10,64.0218878248974,stanford_cars,28
True,0.7,0.8,10,64.00945156075115,stanford_cars,31
True,0.9,0.9,10,63.872652655142396,stanford_cars,58
True,0.5,0.6,10,63.84778012684989,stanford_cars,13
True,0.9,0.9,30,63.82290759855739,stanford_cars,60
True,0.8,0.9,30,63.72341748538739,stanford_cars,48
True,0.5,0.6,20,63.56174605148613,stanford_cars,14
True,0.3,0.6,10,63.54930978733988,stanford_cars,1
True,0.7,0.8,20,63.54930978733988,stanford_cars,32
True,0.7,0.8,30,63.40007461758488,stanford_cars,33
True,0.3,0.6,20,63.13891307051362,stanford_cars,2
True,0.5,0.7,30,63.07673174978237,stanford_cars,18
True,0.5,0.7,20,63.00211416490486,stanford_cars,17
True,0.7,0.9,20,62.93993284417361,stanford_cars,35
True,0.7,0.9,30,62.81557020271111,stanford_cars,36
True,0.3,0.6,30,62.75338888197985,stanford_cars,3
True,0.7,0.9,10,62.67877129710235,stanford_cars,34
True,0.5,0.8,10,62.33055590100734,stanford_cars,19
True,0.5,0.7,10,62.10670314637483,stanford_cars,16
True,0.5,0.8,30,61.410272354184805,stanford_cars,21
True,0.3,0.7,20,61.2859097127223,stanford_cars,5
True,0.3,0.7,30,61.2361646561373,stanford_cars,6
True,0.5,0.8,20,60.999875637358535,stanford_cars,20
True,0.3,0.7,10,60.91282178833478,stanford_cars,4
True,0.5,0.9,30,60.61435144882477,stanford_cars,24
True,0.5,0.9,20,60.415371222484765,stanford_cars,23
True,0.5,0.9,10,60.35318990175352,stanford_cars,22
True,0.3,0.8,30,60.054719562243505,stanford_cars,9
True,0.3,0.8,10,59.830866807610995,stanford_cars,7
True,0.3,0.8,20,59.39559756249223,stanford_cars,8
True,0.3,0.9,30,57.92811839323467,stanford_cars,12
True,0.3,0.9,10,57.87837333664967,stanford_cars,10
True,0.3,0.9,20,57.59233926128591,stanford_cars,11
